state,country,ufo_shape,encounter_length_seconds,date_documented
nv,us,triangle,2400,3/7/1998
ca,us,rectangle,900,3/7/1998
ga,us,light,300,3/7/1998
tn,us,unknown,300,3/7/1998
NA,NA,rectangle,3,3/7/1998
oh,us,triangle,120,3/7/1998
ct,us,light,2400,3/7/1998
pa,NA,circle,300,3/7/1998
wa,us,light,300,3/7/1998
ca,us,disk,600,3/7/1998
ca,us,light,18000,3/7/1998
mn,us,pyramid,120,3/7/1998
ca,us,light,5,3/7/1998
nj,us,light,180,3/7/1998
nv,us,disk,480,3/7/1998
fl,us,fireball,5,3/7/1998
oh,us,light,600,3/7/1998
NA,NA,triangle,2,3/7/1998
fl,us,sphere,300,3/7/1998
ny,us,sphere,120,3/7/1998
ok,us,light,120,3/7/1998
fl,NA,triangle,180,3/7/1998
az,us,triangle,600,3/7/1998
pa,us,light,1800,3/7/1998
pa,us,formation,1200,3/7/1998
mt,us,light,300,3/7/1998
fl,us,light,120,3/7/1998
ca,NA,disk,60,3/7/1998
tx,NA,formation,90,3/7/1998
ny,us,egg,300,3/7/1998
co,us,light,30,3/7/1998
or,us,triangle,60,3/7/1998
tx,us,fireball,5,3/7/1998
ut,us,other,180,3/7/1998
wa,us,sphere,7,3/7/1998
NA,au,cylinder,600,3/7/1998
tx,us,light,1800,3/7/1998
nv,us,sphere,10,3/7/1998
NA,NA,light,30,3/7/1998
az,us,other,180,3/7/1998
fl,us,fireball,105,3/7/1998
wa,us,light,3,3/7/1998
mo,us,light,600,3/7/1998
ok,us,triangle,600,3/7/1998
ca,us,triangle,180,3/7/1998
ca,us,egg,240,3/7/1998
pa,us,light,120,3/7/1998
co,us,unknown,300,3/7/1998
az,us,other,1800,3/7/1998
mi,us,circle,180,3/7/1998
pa,us,hexagon,240,3/7/1998
ca,NA,fireball,1,3/7/1998
fl,us,sphere,90,3/7/1998
ca,us,light,10,3/7/1998
vt,us,diamond,180,3/7/1998
vt,us,light,45,3/7/1998
or,us,light,3600,3/7/1998
il,us,oval,600,3/7/1998
ca,us,disk,1200,3/7/1998
